SurveyYear,Park,Vegetation_Community,FxnGroup,Nativity,NofTransects,Average,StdDev,MinRange,MaxRange,Query_type
2015,SAMO,Coastal Sage Scrub-Chaparral,Grass,Native,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Coastal Sage Scrub-Chaparral,Grass,Nonnative,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Coastal Sage Scrub-Chaparral,Herbaceous,Native,1,6,NA,6,6,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Coastal Sage Scrub-Chaparral,Herbaceous,Nonnative,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Coastal Sage Scrub-Chaparral,Shrub,Native,1,5,NA,5,5,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Coastal Sage Scrub-Chaparral,Vine,Native,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Coastal Sage Scrub-Chaparral,NA,NA,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Disturbed,Grass,Native,2,1.5,0.7071067811865476,1,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Disturbed,Grass,Nonnative,2,1.5,0.7071067811865476,1,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Disturbed,Herbaceous,Native,2,2.5,0.7071067811865476,2,3,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Disturbed,Herbaceous,Nonnative,2,0.5,0.7071067811865476,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Disturbed,Shrub,Native,2,5.5,2.1213203435596433,4,7.000000000000001,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Disturbed,NA,NA,2,1,0,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Grassland,Grass,Native,7,0.14285714285714285,0.3779644730092272,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Grassland,Grass,Nonnative,7,1.8571428571428572,1.2149857925879117,1,4,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Grassland,Herbaceous,Native,7,2.142857142857143,2.794552524023088,0,7.000000000000001,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Grassland,Herbaceous,Nonnative,7,2.7142857142857144,1.7994708216848747,1,6,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Grassland,Herbaceous,Unknown,7,0.14285714285714285,0.3779644730092272,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Grassland,Shrub,Native,7,1,1,0,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Grassland,Tree,Native,7,0.2857142857142857,0.4879500364742666,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Grassland,Vine,Native,7,0.14285714285714285,0.3779644730092272,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Grassland,NA,NA,6,1,0,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,QUAG-Chaparral,Shrub,Native,1,5,NA,5,5,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,QUAG-Chaparral,Tree,Native,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,QUAG-Chaparral,NA,NA,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Riparian Woodland,Grass,Native,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Riparian Woodland,Grass,Nonnative,1,3,NA,3,3,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Riparian Woodland,Herbaceous,Nonnative,1,4,NA,4,4,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Riparian Woodland,Shrub,Native,1,3,NA,3,3,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Riparian Woodland,Tree,Native,1,3,NA,3,3,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Riparian Woodland,Unknown,Unknown,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Riparian Woodland,NA,NA,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Successional Shrubland,Grass,Native,4,1,0.816496580927726,0,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Successional Shrubland,Grass,Nonnative,4,0.5,1,0,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Successional Shrubland,Herbaceous,Native,4,9,3.651483716701107,5,13,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Successional Shrubland,Herbaceous,Nonnative,4,1,1.1547005383792515,0,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Successional Shrubland,Shrub,Native,4,4.5,2.6457513110645907,2,8,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Successional Shrubland,Tree,Native,4,0.25,0.5,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Successional Shrubland,Vine,Native,4,0.25,0.5,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Successional Shrubland,NA,NA,4,1,0,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Sumac Shrubland,Grass,Native,6,0.16666666666666666,0.408248290463863,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Sumac Shrubland,Grass,Nonnative,6,0.3333333333333333,0.5163977794943222,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Sumac Shrubland,Herbaceous,Native,6,3.5,2.664582518894846,0,7.000000000000001,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Sumac Shrubland,Herbaceous,Nonnative,6,0.8333333333333334,0.983192080250175,0,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Sumac Shrubland,Shrub,Native,6,5.833333333333334,2.041241452319315,3,9,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Sumac Shrubland,Tree,Native,6,0.16666666666666666,0.408248290463863,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Sumac Shrubland,Vine,Native,6,0.6666666666666666,0.5163977794943222,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Sumac Shrubland,NA,NA,6,1,0,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Woodland,Grass,Native,3,0.6666666666666666,0.5773502691896257,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Woodland,Grass,Nonnative,3,1.6666666666666667,2.0816659994661326,0,4,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Woodland,Herbaceous,Native,3,4.666666666666667,2.5166114784235836,2,7.000000000000001,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Woodland,Herbaceous,Nonnative,3,2,2.6457513110645907,0,5,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Woodland,Shrub,Native,3,2.3333333333333335,1.5275252316519468,1,4,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Woodland,Tree,Native,3,0.6666666666666666,0.5773502691896257,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Woodland,Vine,Native,3,0.6666666666666666,0.5773502691896257,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Woodland,NA,NA,3,1,0,1,1,"Annual Report, Absolute Cover (Fig. E2)"
